"Book","Date Finished","Publication Year"
"The Hitchhiker's Guide to the Galaxy by Douglas Adams","2019-04-03","1979"
"Tiamat's Wrath by James S.A. Corey","2019-04-07","2019"
"Lord of Light by Roger Zelazny","2019-04-18","1967"
"Consider Phlebas by Iain M. Banks","2019-04-26","1987"
"The Player of Games by Iain M. Banks","2019-05-03","1988"
"Use of Weapons by Iain M. Banks","2019-05-08","1990"
"The Demolished Man by Alfred Bester","2019-05-15","1953"
"Cosmos by Carl Sagan","2019-05-19","1980"
"The Man Who Fell to Earth by Walter Tevis","2019-05-22","1963"
"Children of Ruin by Adrian Tchaikovsky","2019-05-29","2019"
"The Selfish Gene by Richard Dawkins","2019-06-05","1976"
"Excession by Iain M. Banks","2019-06-09","1996"
"Gateway by Frederik Pohl","2019-06-12","1977"
"The Abyss Beyond Dreams by Peter F. Hamilton","2019-06-18","2014"
"Night Without Stars by Peter F. Hamilton","2019-06-29","2016"
"The Collapsing Empire by John Scalzi","2019-07-02","2017"
"The Consuming Fire by John Scalzi","2019-07-05","2018"
"Inversions by Iain M. Banks","2019-07-07","1998"
"Great North Road by Peter F. Hamilton","2019-07-28","2012"
"Tau Zero by Poul Anderson","2019-07-31","1970"
"The Left Hand of Darkness by Ursula K. Le Guin","2019-08-05","1969"
"The God Delusion by Richard Dawkins","2019-08-07","2006"
"The Three Stigmata of Palmer Eldritch by Philip K. Dick","2019-08-09","1965"
"The Ascent of Gravity: The Quest to Understand the Force that Explains Everything by Marcus Chown","2019-08-13","2017"
"Wool by Hugh Howey","2019-08-19","2012"
"Dune by Frank Herbert","2019-08-26","1965"
"The Gods Themselves by Isaac Asimov","2019-09-02","1972"
"Slaughterhouse-Five by Kurt Vonnegut Jr.","2019-09-04","1969"
"Sea of Rust by C. Robert Cargill","2019-09-11","2017"
"Look to Windward by Iain M. Banks","2019-09-15","2000"
"Revelation Space by Alastair Reynolds","2019-09-26","2000"
"Redemption Ark by Alastair Reynolds","2019-10-04","2002"
"Absolution Gap by Alastair Reynolds","2019-10-10","2003"
"The Martian by Andy Weir","2019-10-13","2012"
"The Handmaid's Tale by Margaret Atwood","2019-10-16","1985"
"Childhood's End by Arthur C. Clarke","2019-10-19","1953"
"Armor by John Steakley","2019-10-24","1984"
"A Fire Upon the Deep by Vernor Vinge","2019-10-31","1992"
"The Man in the High Castle by Philip K. Dick","2019-11-05","1962"
"Contact by Carl Sagan","2019-11-10","1985"
"Reality is Not What it Seems: The Journey to Quantum Gravity by Carlo Rovelli","2019-11-11","2014"
"Ender's Game by Orson Scott Card","2019-11-17","1985"
"Starfish by Peter Watts","2019-11-21","1999"
"A Memory Called Empire by Arkady Martine","2019-11-27","2019"
"The Algebraist by Iain M. Banks","2019-12-06","2004"
"Station Eleven by Emily St. John Mandel","2019-12-12","2014"
"Breakfast of Champions by Kurt Vonnegut Jr.","2019-12-15","1973"
"The Light Brigade by Kameron Hurley","2019-12-19","2019"
"2001: A Space Odyssey by Arthur C. Clarke","2019-12-22","1968"
"Pushing Ice by Alastair Reynolds","2019-12-29","2005"
"The Reality Dysfunction by Peter F. Hamilton","2020-01-12","1996"
"The Neutronium Alchemist by Peter F. Hamilton","2020-01-24","1997"
"The Naked God by Peter F. Hamilton","2020-02-01","1999"
"Vicious by V.E. Schwab","2020-02-04","2013"
"Circe by Madeline Miller","2020-02-08","2018"
"Redshirts by John Scalzi","2020-02-11","2012"
"We by Yevgeny Zamyatin","2020-02-14","1920"
"The Stars Are Legion by Kameron Hurley","2020-02-16","2017"
"Spin by Robert Charles Wilson","2020-02-22","2005"
"Feersum Endjinn by Iain M. Banks","2020-02-27","1994"
"The Fifth Season by N.K. Jemisin","2020-02-29","2015"
"Matter by Iain M. Banks","2020-03-05","2008"
"The City and the Stars by Arthur C. Clarke","2020-03-09","1956"
"Fahrenheit 451 by Ray Bradbury","2020-03-11","1953"
"The Obelisk Gate by N.K. Jemisin","2020-03-16","2016"
"The Stone Sky by N.K. Jemisin","2020-03-21","2017"
"A Canticle for Leibowitz by Walter M. Miller Jr.","2020-03-28","1959"
"The Quantum Magician by Derek Künsken","2020-04-02","2018"
"The Quantum Garden by Derek Künsken","2020-04-05","2019"
"Embers of War by Gareth L. Powell","2020-04-08","2018"
"A Scanner Darkly by Philip K. Dick","2020-04-12","1977"
"Sixteen Ways to Defend a Walled City by K.J. Parker","2020-04-18","2019"
"The Song of Achilles by Madeline Miller","2020-04-22","2011"
"The Prefect by Alastair Reynolds","2020-04-26","2007"
"Elysium Fire by Alastair Reynolds","2020-05-01","2018"
"Chasm City by Alastair Reynolds","2020-05-04","2001"
"Beyond the Aquila Rift: The Best of Alastair Reynolds by Alastair Reynolds","2020-05-09","2008"
"The Measurements of Decay by K.K. Edin","2020-05-12","2018"
"The Blade Itself by Joe Abercrombie","2020-05-18","2006"
"Before They Are Hanged by Joe Abercrombie","2020-05-23","2007"
"Last Argument of Kings by Joe Abercrombie","2020-05-31","2008"
"Aftershocks by Marko Kloos","2020-06-02","2019"
"The Lies of Locke Lamora by Scott Lynch","2020-06-08","2006"
"Red Seas Under Red Skies by Scott Lynch","2020-06-14","2007"
"Galactic North by Alastair Reynolds","2020-06-15","2006"
"The Republic of Thieves by Scott Lynch","2020-06-25","2013"
"The Folding Knife by K.J. Parker","2020-07-01","2010"
"Fallen Dragon by Peter F. Hamilton","2020-07-09","2001"
"Surface Detail by Iain M. Banks","2020-07-14","2010"
"American Gods by Neil Gaiman","2020-07-19","2001"
"Blackwing by Ed McDonald","2020-07-24","2017"
"Best Served Cold by Joe Abercrombie","2020-08-03","2009"
"The Heroes by Joe Abercrombie","2020-08-06","2011"
"Recursion by Blake Crouch","2020-08-11","2019"
"The Last Emperox: The Interdependency Book 3 by John Scalzi","2020-08-12","2020"
"The Warded Man by Peter V. Brett","2020-08-15","2008"
"Red Country by Joe Abercrombie","2020-08-19","2012"
"Sharp Ends by Joe Abercrombie","2020-08-23","2016"
"The Hydrogen Sonata by Iain M. Banks","2020-08-26","2012"
"Mockingbird by Walter Tevis","2020-09-04","1980"
"Culture Series of Iain M. Banks: A Critical Introduction by Simone Caroti","2020-09-06","2015"
"Ravencry by Ed McDonald","2020-09-11","2018"
"Crowfall by Ed McDonald","2020-09-16","2019"
"Old Man's War by John Scalzi","2020-09-19","2005"
"The Ghost Brigades by John Scalzi","2020-09-21","2006"
"The Last Colony by John Scalzi","2020-09-24","2007"
"Exhalation by Ted Chiang","2020-09-30","2019"
"The Desert Spear by Peter V. Brett","2020-10-06","2010"
"The Daylight War by Peter V. Brett","2020-10-12","2013"
"The Skull Throne by Peter V. Brett","2020-10-17","2015"
"The Core by Peter V. Brett","2020-10-25","2017"
"How to Rule an Empire and Get Away with It by K.J. Parker","2020-10-28","2020"
"The Doors of Eden by Adrian Tchaikovsky","2020-11-06","2020"
"Century Rain by Alastair Reynolds","2020-11-12","2004"
"Kings of the Wyld by Nicholas Eames","2020-11-21","2017"
"The State of the Art by Iain M. Banks","2020-11-23","1991"
"Senlin Ascends by Josiah Bancroft","2020-11-28","2013"
"Arm of the Sphinx by Josiah Bancroft","2020-12-02","2014"
"The Hod King by Josiah Bancroft","2020-12-09","2019"
"The Spy Who Came in from the Cold by John le Carré","2020-12-11","1963"
"City of Stairs by Robert Jackson Bennett","2020-12-16","2014"
"City of Blades by Robert Jackson Bennett","2020-12-20","2016"
"I Am Legend by Richard Matheson","2020-12-21","1954"
"Axiomatic by Greg Egan","2020-12-29","1990"
"The Day of the Jackal: The legendary assassination thriller by Frederick Forsyth","2021-01-02","1971"
"Endymion by Dan Simmons","2021-01-09","1996"
"The Rise of Endymion by Dan Simmons","2021-01-23","1997"
"Children of Earth and Sky by Guy Gavriel Kay","2021-01-31","2016"
"Bloody Rose by Nicholas Eames","2021-02-06","2018"
"The Black Prism by Brent Weeks","2021-02-14","2010"
"City of Miracles by Robert Jackson Bennett","2021-02-22","2017"
"The Blinding Knife by Brent Weeks","2021-03-05","2012"
